bsky_handle,name
@achimpost.de,Achim Post
@agnieszka-brugger.de,Agnieszka Brugger
@andreasaudretsch.de,Andreas Audretsch
@avjurisch.bsky.social,Ann-Veruschka Jurisch
@irene-mihalic.de,Irene Mihalic
@schwarzmdb.bsky.social,Andreas Schwarz
@andreaslarem.bsky.social,Andreas Larem
@arimkus.bsky.social,Andreas Rimkus
@anjareinalter.bsky.social,Anja Reinalter
@anjatroff.bsky.social,Anja Troff-Schaffarzyk
@annakassautzki.bsky.social,Anna Kassautzki
@annaluehrmann.bsky.social,Anna Lührmann
@anniklose.bsky.social,Annika Klose
@hofreiter.bsky.social,Anton Hofreiter
@armingrau.bsky.social,Armin Grau
@atesguerpinar.bsky.social,Ates Gürpinar
@awettesfaiesus.bsky.social,Awet Tesfaiesus
@axelecheverria.bsky.social,Axel Echeverria
@baerbelbas.de,Bärbel Bas
@baerbelkofler.bsky.social,Bärbel Kofler
@gruenebeate.bsky.social,Beate Müller-Gemmeke
@bherrmann.bsky.social,Bernhard Herrmann
@djirsarai.bsky.social,Bijan Djir-Sarai
@boris-mijatovic.bsky.social,Boris Mijatovic
@nickholz.bsky.social,Brian Nickholz
@britta-hasselmann.de,Britta Haßelmann
@blischka.bsky.social,Burkhard Lischka
@lieblingxhain.bsky.social,Canan Bayram
@carenlay.bsky.social,Caren Lay
@carloskasper.bsky.social,Carlos Kasper
@carmenwegge.bsky.social,Carmen Wegge
@catarinadossantos.bsky.social,Catarina dos Santos
@oezdemir.de,Cem Özdemir
@chantalkopf.bsky.social,Chantal Kopf
@einfachkuehn.bsky.social,Chris Kühn
@christianduerr.bsky.social,Christian Dürr
@cjschroeder.de,Christina-Johanne Schröder
@aschenbergdugnus.bsky.social,Christine Aschenberg-Dugnus
@clarabuenger.bsky.social,Clara Bünger
@gruenclaudia.bsky.social,Claudia Müller
@corinna-rueffer.de,Corinna Rüffer
@connimoehring.bsky.social,Cornelia Moehring
@dagmarandres.bsky.social,Dagmar Andres
@dagmarschmidt.de,Dagmar Schmidt
