,X,bsky_handle,name
1,1,@rmkanev.bsky.social,Radan Kanev
2,2,@lenaats.bsky.social,Lena Schilling
3,3,@nicogcasares.bsky.social,Nicolás González Casares
4,4,@ondrejkrutilek.bsky.social,Ondřej Krutílek
5,5,@christopheclergeau.bsky.social,Christophe Clergeau
6,7,@pcanfin.bsky.social,Pascal Canfin
7,8,@vicentmarza.bsky.social,Vicent Marzà Ibáñez
8,10,@stinebosse.bsky.social,Stine Bosse
9,11,@zdrojewski.bsky.social,Bogdan Andrzej Zdrojewski
10,12,@krzysztofsmiszek.bsky.social,Krzysztof Śmiszek
11,13,@sandroruotolo.bsky.social,Sandro Ruotolo
12,14,@idoiamendia.bsky.social,Idoia Mendia
13,15,@joannasw.bsky.social,Joanna Scheuring-Wielgus
14,16,@smithanthony.bsky.social,Anthony Smith
15,18,@perclausen.bsky.social,Per Clausen
16,19,@marinamesure.bsky.social,Marina Mesure
17,20,@ferber.bsky.social,Markus Ferber
18,21,@manuelaripa.bsky.social,Manuela Ripa
19,22,@anam-eurodeputada.bsky.social,Ana Miranda Paz
20,23,@alviseoficial.bsky.social,Alvise Pérez
21,24,@thomaswaitz.bsky.social,Thomas Waitz
22,25,@dodolasaumure.bsky.social,Bernard Guetta
23,26,@adamowicz-magda.bsky.social,Magdalena Adamowicz
24,27,@marianoichl.bsky.social,Maria Noichl
25,28,@bartsienkiewicz.bsky.social,Bartłomiej Sienkiewicz
26,29,@hannesheide.bsky.social,Hannes Heide
27,30,@emma-fourreau.bsky.social,Emma Fourreau
28,32,@gregoryallione.bsky.social,Grégory Allione
29,33,@noramebarek.bsky.social,Nora Mebarek
30,34,@danielobajtek.bsky.social,Daniel Obajtek
31,35,@janfarsky.bsky.social,Jan Farský
32,36,@danusenerudova.bsky.social,Danuše Nerudová
33,37,@sigridfriis.bsky.social,Sigrid Friis
34,38,@aliciahoms.bsky.social,Alicia Homs Ginel
35,39,@peto69.bsky.social,Pekka Toveri
36,40,@tpellerincarlin.bsky.social,Thomas Pellerin-Carlin
37,41,@cschaldemose.bsky.social,Christel Schaldemose
38,42,@rasmusnordqvist.bsky.social,Rasmus Nordqvist
39,44,@estrellagalan.bsky.social,Estrella Galán
40,45,@mounirsatouri.bsky.social,Mounir Satouri
41,46,@mikaaaltola.bsky.social,Mika Aaltola
42,47,@mariaohisalo.bsky.social,Maria Ohisalo
43,48,@schirdewan.bsky.social,Martin Schirdewan
44,49,@mariannevind.bsky.social,Marianne Vind
45,50,@karinkarlsbro.bsky.social,Karin Karlsbro
46,51,@dariuszjonski.bsky.social,Dariusz Joński
47,52,@ymaniatis.bsky.social,Yannis Maniatis
48,53,@rbiedron.bsky.social,Robert Biedroń
49,54,@grudlerch.bsky.social,Christophe Grudler
50,57,@lukaszkohut.bsky.social,Łukasz Kohut
51,58,@nzingaretti.bsky.social,Nicola Zingaretti
52,59,@irenemonterog.bsky.social,Irene Montero
53,60,@d-tarczynski.bsky.social,Dominik Tarczyński
54,61,@pinapic.bsky.social,Pina Picierno
55,62,@hbrandstaetter.bsky.social,Helmut Brandstätter
56,64,@villeniinisto.bsky.social,Ville Niinistö
57,65,@nielsflemming.konservative.dk,Niels Flemming Hansen
58,66,@mrossemp.bsky.social,Marcos Ros Sempere
59,67,@tinekestrik.bsky.social,Tineke Strik
60,69,@lnbdublin.bsky.social,Lynn Boylan
61,70,@michalkobosko.bsky.social,Michał Kobosko
62,71,@mcnamaramep.bsky.social,Michael Mcnamara
63,72,@marietouss1.bsky.social,Marie Toussaint
64,73,@eeroheinaluoma.bsky.social,Eero Heinäluoma
65,74,@leilachaibi.bsky.social,Leila Chaibi
66,75,@lauballarin.bsky.social,Laura Ballarín Cereza
67,76,@jaumeasens.bsky.social,Jaume Asens Llodrà
68,78,@majdoulinesbai.bsky.social,Majdouline Sbai
69,79,@cesarluena.bsky.social,César Luena
70,80,@catarina-europe.bsky.social,Catarina Vieira
71,82,@anjahazekamp.bsky.social,Anja Hazekamp
72,83,@borys-budka.bsky.social,Borys Budka
73,84,@damiencareme.bsky.social,Damien Carême
74,85,@crismaestre.bsky.social,Cristina Maestre
75,86,@krzysztofbrejzamep.bsky.social,Krzysztof Brejza
76,87,@leirepajin.bsky.social,Leire Pajín
77,88,@marketkag.bsky.social,Markéta Gregorová
78,89,@martinhaeusling.bsky.social,Martin Häusling
79,90,@arashsaeidi.bsky.social,Arash Saeidi
80,91,@mstakis.bsky.social,Mārtiņš Staķis
81,92,@liandersson.bsky.social,Li Andersson
82,93,@lukasmandl.bsky.social,Lukas Mandl
83,94,@repasi.bsky.social,René Repasi
84,95,@sibylleberg.bsky.social,Sibylle Berg
85,96,@nilushakov.bsky.social,Nils Ušakovs
86,97,@ivarsijabs.bsky.social,Ivars Ijabs
87,99,@kalniete.bsky.social,Sandra Kalniete
