"","X","bsky_handle","name"
"1",1,"@rmkanev.bsky.social","Radan Kanev"
"2",2,"@lenaats.bsky.social","Lena Schilling"
"3",3,"@nicogcasares.bsky.social","Nicolas G. Casares"
"4",4,"@ondrejkrutilek.bsky.social","Ondřej Krutílek"
"5",5,"@christopheclergeau.bsky.social","Christophe Clergeau"
"6",7,"@pcanfin.bsky.social","Pascal Canfin"
"7",8,"@vicentmarza.bsky.social","Vicent Marzà"
"8",9,"@diegamon.bsky.social","Claudia Gamon"
"9",10,"@stinebosse.bsky.social","Stine Bosse"
"10",11,"@zdrojewski.bsky.social","Bogdan Zdrojewski"
"11",12,"@krzysztofsmiszek.bsky.social","Krzysztof Śmiszek"
"12",13,"@sandroruotolo.bsky.social","Sandro Ruotolo"
"13",14,"@idoiamendia.bsky.social","Idoia Mendia"
"14",15,"@joannasw.bsky.social","Joanna Scheuring-Wielgus"
"15",16,"@smithanthony.bsky.social","Anthony Smith"
"16",18,"@perclausen.bsky.social","Per Clausen"
"17",19,"@marinamesure.bsky.social","Marina Mesure"
"18",20,"@ferber.bsky.social","Markus Ferber"
"19",21,"@manuelaripa.bsky.social","Manuela Ripa"
"20",22,"@anam-eurodeputada.bsky.social","Ana Miranda"
"21",23,"@alviseoficial.bsky.social","Alvise Pérez"
"22",24,"@thomaswaitz.bsky.social","Thomas Waitz"
"23",25,"@dodolasaumure.bsky.social","Bernard Guetta"
"24",26,"@adamowicz-magda.bsky.social","Magdalena Adamowicz"
"25",27,"@marianoichl.bsky.social","Maria Noichl"
"26",28,"@bartsienkiewicz.bsky.social","Bartłomiej Sienkiewicz"
"27",29,"@hannesheide.bsky.social","Hannes Heide"
"28",30,"@emma-fourreau.bsky.social","Emma Fourreau"
"29",32,"@gregoryallione.bsky.social","gregoryallione.bsky.social"
"30",33,"@noramebarek.bsky.social","Nora Mebarek"
"31",34,"@danielobajtek.bsky.social","Daniel Obajtek"
"32",35,"@janfarsky.bsky.social","Jan Farský"
"33",36,"@danusenerudova.bsky.social","Danuše Nerudová"
"34",37,"@sigridfriis.bsky.social","Sigrid Friis"
"35",38,"@aliciahoms.bsky.social","Alícia Homs"
"36",39,"@peto69.bsky.social","Pekka Toveri"
"37",40,"@tpellerincarlin.bsky.social","Thomas Pellerin-Carlin"
"38",41,"@cschaldemose.bsky.social","Christel Schaldemose"
"39",42,"@rasmusnordqvist.bsky.social","Rasmus Nordqvist"
"40",44,"@estrellagalan.bsky.social","Estrella Galán"
"41",45,"@mounirsatouri.bsky.social","Mounir Satouri"
"42",46,"@mikaaaltola.bsky.social","Mika Aaltola"
"43",47,"@mariaohisalo.bsky.social","Maria Ohisalo"
"44",48,"@schirdewan.bsky.social","Martin Schirdewan"
"45",49,"@mariannevind.bsky.social","Marianne Vind"
"46",50,"@karinkarlsbro.bsky.social","Karin Karlsbro"
"47",51,"@dariuszjonski.bsky.social","Dariusz Joński"
"48",52,"@ymaniatis.bsky.social","Yannis Maniatis"
"49",53,"@rbiedron.bsky.social","Robert Biedroń"
"50",54,"@grudlerch.bsky.social","Christophe Grudler"
"51",57,"@lukaszkohut.bsky.social","Łukasz Kohut"
"52",58,"@nzingaretti.bsky.social","Nicola Zingaretti"
"53",59,"@irenemonterog.bsky.social","Irene Montero"
"54",60,"@d-tarczynski.bsky.social","Dominik Tarczyński"
"55",61,"@pinapic.bsky.social","Pina Picierno"
"56",62,"@hbrandstaetter.bsky.social","Helmut Brandstätter"
"57",64,"@villeniinisto.bsky.social","Ville Niinistö"
"58",65,"@nielsflemming.konservative.dk","Niels Flemming"
"59",66,"@mrossemp.bsky.social","Marcos Ros Sempere"
"60",67,"@tinekestrik.bsky.social","Tineke Strik"
"61",69,"@lnbdublin.bsky.social","Lynn Boylan"
"62",70,"@michalkobosko.bsky.social","Michal Kobosko"
"63",71,"@mcnamaramep.bsky.social","Michael McNamara"
"64",72,"@marietouss1.bsky.social","Marie Toussaint"
"65",73,"@eeroheinaluoma.bsky.social","Eero Heinäluoma"
"66",74,"@leilachaibi.bsky.social","Leïla Chaibi"
"67",75,"@lauballarin.bsky.social","Laura Ballarín"
"68",76,"@jaumeasens.bsky.social","Jaume Asens"
"69",78,"@majdoulinesbai.bsky.social","Majdouline Sbaï"
"70",79,"@cesarluena.bsky.social","César Luena"
"71",80,"@catarina-europe.bsky.social","Catarina Vieira"
"72",82,"@anjahazekamp.bsky.social","Anja Hazekamp"
"73",83,"@borys-budka.bsky.social","Borys Budka"
"74",84,"@damiencareme.bsky.social","Damien Careme"
"75",85,"@crismaestre.bsky.social","Cristina Maestre"
"76",86,"@krzysztofbrejzamep.bsky.social","Krzysztof Brejza"
"77",87,"@leirepajin.bsky.social","Leire Pajín"
"78",88,"@marketkag.bsky.social","Markétka Gregorova"
