"","handle","name"
"1","@torstenbell.bsky.social","Torsten Bell"
"2","@jeremycorbyn.bsky.social","Jeremy Corbyn"
"3","@charlotte2153.bsky.social","Charlotte Nichols"
"4","@chriscurtis94.bsky.social","Chris Curtis"
"5","@lucyrigby.bsky.social","Lucy Rigby"
"6","@lukepollard.bsky.social","Luke Pollard"
"7","@darrenpjones.bsky.social","Darren Jones"
"8","@julietcampbellmp.bsky.social","Juliet Campbell"
"9","@carladenyer.bsky.social","Carla Denyer"
"10","@antoniabance.bsky.social","Antonia Bance"
"11","@amcarmichaelmp.bsky.social","Alistair Carmichael"
"12","@davidbainesmp.bsky.social","David Baines"
"13","@laylamoran.bsky.social","Layla Moran"
"14","@pollybillington.bsky.social","Polly Billington"
"15","@libdemcam.bsky.social","Cameron Thomas"
"16","@imogenwalker.bsky.social","Imogen Walker"
"17","@simonforstroud.bsky.social","Simon Opher"
"18","@lizjarvis.bsky.social","Liz Jarvis"
"19","@angelaeagle1.bsky.social","Angela Eagle"
"20","@kirstysnp.bsky.social","Kirsty Blackman"
"21","@luketaylorld.bsky.social","Luke Taylor"
"22","@gregorpoynton.bsky.social","Gregor Poynton"
"23","@clairehanna.bsky.social","Claire Hanna"
"24","@bellribeiroaddy.bsky.social","Bell Ribeiro-Addy"
"25","@hackneyabbott.bsky.social","Diane Abbott"
"26","@gwynnemp.bsky.social","Andrew Gwynne"
"27","@emmahardymp.bsky.social","Emma Hardy"
"28","@lewisatkinson.bsky.social","Lewis Atkinson"
"29","@willforster.bsky.social","Will Forster"
"30","@jessphillipsmp.bsky.social","Jess Phillips"
"31","@jeevunsandher.bsky.social","Dr. Jeevun Sandher"
"32","@allymcgovern.bsky.social","Alison McGovern"
"33","@miattafahnbulleh.bsky.social","Miatta Fahnbulleh"
"34","@callumandersonmp.bsky.social","Callum Anderson"
"35","@zarahsultana.bsky.social","Zarah Sultana"
"36","@joepowell.bsky.social","Joe Powell"
"37","@andrewpakes.bsky.social","Andrew Pakes"
"38","@lukemurphy.bsky.social","Luke Murphy"
"39","@dannychambers.bsky.social","Danny Chambers"
"40","@tobyperkinsmp.bsky.social","Toby Perkins"
"41","@matthewpatrick.bsky.social","Matthew Patrick"
"42","@patrickhurley.bsky.social","Patrick Hurley"
"43","@philbrickellmp.bsky.social","Phil Brickell"
"44","@yasminqureshimp.bsky.social","Yasmin Qureshi"
"45","@chrishinchliff.bsky.social","Chris Hinchliff"
"46","@samcarling.bsky.social","Sam Carling"
"47","@drrosena.bsky.social","Dr Rosena Allin-Khan"
"48","@jon4highpeak.bsky.social","Jon Pearce"
"49","@joshuareynoldssl6.bsky.social","Joshua Reynolds"
"50","@freddievanmierlomp.bsky.social","Freddie van Mierlo"
"51","@jamesmaccleary.bsky.social","James MacCleary"
"52","@vikkislademp.bsky.social","Vikki Slade"
"53","@claireyoungmp.bsky.social","Claire Young"
"54","@alpinkerton.bsky.social","Dr Al Pinkerton"
"55","@zoefranklinld.bsky.social","Zoe Franklin"
"56","@charlotte-cane-mp.bsky.social","Charlotte Cane"
"57","@carolinevoadenmp.bsky.social","Caroline Voaden"
"58","@jostevenslabour.bsky.social","Jo Stevens"
"59","@mariecgoldman.bsky.social","Marie Goldman"
"60","@libdemdaisy.bsky.social","Daisy Cooper"
"61","@stephenmorganmp.bsky.social","Stephen Morgan"
"62","@elliechowns.bsky.social","Ellie Chowns"
"63","@benobesejecty.bsky.social","Ben Obese-Jecty"
"64","@stellacreasy.bsky.social","Stella Creasy"
"65","@jessasatomp.bsky.social","Jess Asato"
"66","@labourlewis.bsky.social","Clive Lewis"
"67","@werahobhouse.bsky.social","Wera Hobhouse"
"68","@joshdeanmp.bsky.social","Josh Dean"
"69","@liamconlonlabour.bsky.social","Liam Conlon"
"70","@danaldridgemp.bsky.social","Dan Aldridge"
"71","@leepitcher.bsky.social","Lee Pitcher"
"72","@msalexbaker.bsky.social","Alex Baker"
"73","@alisonstaylormp.bsky.social","Alison S Taylor"
"74","@davidbsampson.bsky.social","David Burton-Sampson"
"75","@martinmccluskey.bsky.social","Martin McCluskey"
"76","@gordonmckee.bsky.social","Gordon McKee"
"77","@marykfoymp.bsky.social","Mary Kelly Foy"
"78","@catherinewestmp.bsky.social","Catherine West"
"79","@markfergusonmp.bsky.social","Mark Ferguson"
