,X,bsky_handle,name
1,1,@adamjogee.bsky.social,Adam Jogee
2,2,@alangemmell.bsky.social,Alan Gemmell
3,3,@alexdaviesjones.bsky.social,Alex Davies-Jones
4,4,@alexkbrewer.bsky.social,Alex Brewer
5,5,@alexsobel.co.uk,Alex Sobel
6,6,@alisonebennett.bsky.social,Alison Bennett
7,7,@alisonstaylormp.bsky.social,Alison S Taylor
8,8,@alistrathern.bsky.social,Alistair Strathern
9,9,@allymcgovern.bsky.social,Alison McGovern
10,10,@alpinkerton.bsky.social,Dr Al Pinkerton
11,11,@amcarmichaelmp.bsky.social,Alistair Carmichael
12,12,@andrewlewinmp.bsky.social,Andrew Lewin
13,13,@andrewpakes.bsky.social,Andrew Pakes
14,14,@andrewwesternmp.bsky.social,Andrew Western
15,15,@angelaeagle1.bsky.social,Angela Eagle
16,16,@antoniabance.bsky.social,Antonia Bance
17,17,@bambosmp.bsky.social,Bambos Charalambous
18,18,@bellribeiroaddy.bsky.social,Bell Ribeiro-Addy
19,19,@bengoldsborough.bsky.social,Ben Goldsborough
20,20,@benobesejecty.bsky.social,Ben Obese-Jecty
21,21,@blairmcdougall.com,Blair McDougall
22,22,@callumandersonmp.bsky.social,Callum Anderson
23,23,@carladenyer.bsky.social,Carla Denyer
24,24,@carolinevoadenmp.bsky.social,Caroline Voaden
25,25,@carolynharris.bsky.social,Carolyn Harris
26,26,@cateccles.bsky.social,Cat Eccles
27,27,@catherinewestmp.bsky.social,Catherine West
28,28,@charlotte-cane-mp.bsky.social,Charlotte Cane
29,29,@charlotte2153.bsky.social,Charlotte Nichols
30,30,@chrisbloore.bsky.social,Chris Bloore
31,31,@chriscurtis94.bsky.social,Chris Curtis
32,32,@chriselmoremp.bsky.social,Chris Elmore
33,33,@chrishinchliff.bsky.social,Chris Hinchliff
34,34,@clairehanna.bsky.social,Claire Hanna
35,35,@claireyoungmp.bsky.social,Claire Young
36,36,@connornaismithmp.bsky.social,Connor Naismith
37,37,@danaldridgemp.bsky.social,Dan Aldridge
38,38,@danfrancis02.bsky.social,Daniel Francis
39,39,@dannychambers.bsky.social,Danny Chambers
40,40,@darrenpjones.bsky.social,Darren Jones
41,41,@davidbainesmp.bsky.social,David Baines
42,42,@davidbsampson.bsky.social,David Burton-Sampson
43,43,@dawnbutlerbrent.bsky.social,Dawn Butler
44,44,@deirdrecostiganmp.bsky.social,Deirdre Costigan
46,46,@drrosena.bsky.social,Dr Rosena Allin-Khan
47,47,@drscottarthurmp.bsky.social,Scott Arthur
48,48,@elliechowns.bsky.social,Ellie Chowns
49,49,@elsieblundellmp.bsky.social,Elsie Blundell
50,50,@emily4mk.bsky.social,Emily Darlington
51,51,@emilythornberry.bsky.social,Emily Thornberry
52,52,@emmahardymp.bsky.social,Emma Hardy
53,53,@fleuranderson.bsky.social,Fleur Anderson
54,54,@florenceeshalomi.bsky.social,Florence Eshalomi
55,55,@freddievanmierlomp.bsky.social,Freddie van Mierlo
56,56,@fredthomasuk.bsky.social,Fred Thomas
57,57,@andrewcooper.net,Andrew Cooper
58,58,@gordonmckee.bsky.social,Gordon McKee
59,59,@graemedowniemp.bsky.social,Graeme Downie
60,60,@gregorpoynton.bsky.social,Gregor Poynton
61,61,@gwynnemp.bsky.social,Andrew Gwynne
62,62,@hackneyabbott.bsky.social,Diane Abbott
63,63,@heidialexander.bsky.social,Heidi Alexander
64,64,@helenemaguire.bsky.social,Helen Maguire
65,65,@helenmorganlibdem.bsky.social,Helen Morgan
66,66,@imogenwalker.bsky.social,Imogen Walker
67,67,@jackabbott.bsky.social,Jack Abbott
68,68,@jamesasser.bsky.social,James Asser
69,69,@jamesmaccleary.bsky.social,James MacCleary
70,70,@jeevunsandher.bsky.social,Dr. Jeevun Sandher
71,71,@jeremycorbyn.bsky.social,Jeremy Corbyn
72,72,@jessasatomp.bsky.social,Jess Asato
73,73,@jessphillipsmp.bsky.social,Jess Phillips
74,74,@jimmcmahon.co.uk,Jim McMahon
75,75,@joemorrismp.bsky.social,Joe Morris
76,76,@joepowell.bsky.social,Joe Powell
77,77,@johnmcdonnellmp.bsky.social,John McDonnell
78,78,@jon4highpeak.bsky.social,Jon Pearce
79,79,@jonathandaviesmp.bsky.social,Jonathan Davies
80,80,@joplatt.bsky.social,Jo Platt
81,81,@joshdeanmp.bsky.social,Josh Dean
82,82,@joshfg.bsky.social,Josh Fenton-Glynn
83,83,@joshnewburymp.bsky.social,Josh Newbury
84,84,@joshuareynoldssl6.bsky.social,Joshua Reynolds
85,85,@jostevenslabour.bsky.social,Jo Stevens
