"name","group","party","birth_date","birth_place","link_email","link_twitt","link_fb","link_instagram","link_linkedin","link_website","link_youtube","link_telegram","link_blog","link_europeanblog"
"Mika Aaltola","Group of the European People's Party (Christian Democrats)","Finland
						 
							 - Kansallinen Kokoomus (Finland)","1969-05-02","Jämsänkoski","ue[dot]aporue.lraporue[at]alotlaa.akim","https://x.com/MikaAaltola?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor","https://www.facebook.com/MikaAaltola2024/?locale=fi_FI","https://www.instagram.com/maaltola/?hl=fi","https://www.linkedin.com/in/mika-aaltola-6385501b/?originalSubdomain=fi",NA,NA,NA,NA,NA
"Maravillas Abadía Jover","Group of the European People's Party (Christian Democrats)","Spain
						 
							 - Partido Popular (Spain)","1981-12-08","Murcia","ue[dot]aporue.lraporue[at]revojaidaba.sallivaram","https://x.com/mabadiajover",NA,NA,NA,NA,NA,NA,NA,NA
"Magdalena Adamowicz","Group of the European People's Party (Christian Democrats)","Poland
						 
							 - Independent (Poland)",NA,NA,"ue[dot]aporue.lraporue[at]zciwomada.aneladgam","https://twitter.com/Adamowicz_Magda","https://www.facebook.com/adamowicz.magdalena","https://www.instagram.com/adamowicz_magda",NA,"https://adamowiczmagdalena.pl",NA,NA,NA,NA
"Georgios Aftias","Group of the European People's Party (Christian Democrats)","Greece
						 
							 - Nea Demokratia (Greece)",NA,NA,"ue[dot]aporue.lraporue[at]saitfa.soigroeg","https://x.com/GiorgosAftias",NA,"https://www.instagram.com/georgeaftias/",NA,NA,NA,NA,NA,NA
"Oihane Agirregoitia Martínez","Renew Europe Group","Spain
						 
							 - Partido Nacionalista Vasco (Spain)","1980-04-18","Bilbao","ue[dot]aporue.lraporue[at]zenitramaitiogerriga.enahio","https://x.com/oagirregoitia",NA,"https://www.instagram.com/oagirregoitiam/ ","https://www.linkedin.com/in/oihaneaguirregoitia/ ",NA,NA,NA,NA,NA
"Peter Agius","Group of the European People's Party (Christian Democrats)","Malta
						 
							 - Partit Nazzjonalista (Malta)","1979-04-09","St. Julians","ue[dot]aporue.lraporue[at]suiga.retep","https://x.com/peteragius_eu","https://www.facebook.com/PeterAgiusMalta/","https://www.instagram.com/peteragius/",NA,NA,NA,NA,NA,NA
"Alex Agius Saliba","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Malta
						 
							 - Partit Laburista (Malta)","1988-01-31","Pieta","ue[dot]aporue.lraporue[at]abilassuiga.xela",NA,"https://www.facebook.com/alexagiussaliba",NA,NA,NA,NA,NA,NA,NA
"Galato Alexandraki","European Conservatives and Reformists Group","Greece
						 
							 - Elliniki Lusi-Greek Solution (Greece)",NA,NA,"ue[dot]aporue.lraporue[at]ikardnaxela.otalag",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grégory Allione","Renew Europe Group","France
						 
							 - Renaissance (France)","1971-07-25","Toulon","ue[dot]aporue.lraporue[at]enoilla.yrogerg",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abir Al-Sahlani","Renew Europe Group","Sweden
						 
							 - Centerpartiet (Sweden)","1976-05-18","Basra","ue[dot]aporue.lraporue[at]inalhasla.riba","https://twitter.com/abiralsahlani","https://www.facebook.com/abirtillbryssel/","https://www.instagram.com/abiralsahlani/","https://www.linkedin.com/in/abiralsahlani/","https://www.centerpartiet.se/vart-parti/vara-politiker/europaparlamentariker/abir-al-sahlani","https://www.youtube.com/channel/UCsHWeFfKVAlYghODL7WbVwQ/",NA,NA,NA
"Nikolaos Anadiotis","Non-attached Members","Greece
						 
							 - Dimokratikó Patriotikó Kínima «NIKI» (Greece)","1983-02-10","Αθηνα","ue[dot]aporue.lraporue[at]sitoidana.soalokin",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Christine Anderson","Europe of Sovereign Nations Group","Germany
						 
							 - Alternative für Deutschland (Germany)",NA,NA,"ue[dot]aporue.lraporue[at]nosredna.enitsirhc",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Li Andersson","The Left group in the European Parliament - GUE/NGL","Finland
						 
							 - Vasemmistoliitto (Finland)","1987-05-13","Turku","ue[dot]aporue.lraporue[at]nossredna.il",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rasmus Andresen","Group of the Greens/European Free Alliance","Germany
						 
							 - Bündnis 90/Die Grünen (Germany)","1986-02-20","Essen","ue[dot]aporue.lraporue[at]neserdna.sumsar","https://twitter.com/RasmusAndresen","https://www.facebook.com/AndresenRasmus/","https://www.instagram.com/gruenrasmus",NA,NA,"https://www.youtube.com/user/RasmusAndresen",NA,NA,NA
"Barry Andrews","Renew Europe Group","Ireland
						 
							 - Fianna Fáil Party (Ireland)","1967-05-16","Dublin","ue[dot]aporue.lraporue[at]swerdna.yrrab",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vytenis Povilas Andriukaitis","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Lithuania
						 
							 - Lietuvos socialdemokratų partija (Lithuania)","1951-08-09",NA,"ue[dot]aporue.lraporue[at]sitiakuirdna.salivopsinetyv",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mathilde Androuët","Patriots for Europe Group","France
						 
							 - Rassemblement national (France)","1984-07-03","Rueil Malmaison","ue[dot]aporue.lraporue[at]teuordna.edlihtam","https://x.com/mandrouet?s=21","https://www.facebook.com/elsa.vassent","https://www.instagram.com/mathildeandrouet?igsh=MWVkMDJva2o3ZTB5OA%3D%3D&utm_source=qr",NA,NA,NA,NA,NA,NA
